Impl,MsgSize,Threads,ThroughputGbps,LatencyUs,CPUCycles,L1Misses,LLCMisses,ContextSwitches
A1,1024,1,1.813721,4.516687,20358750776,75670871,8775,50
A1,1024,2,1.743771,4.697866,48319424928,175004381,3180,69
A1,1024,4,1.901260,4.308725,97339949176,327834123,7343,54
A1,1024,8,1.654298,4.951955,191381196108,614598598,48879,906
A1,4096,1,3.748368,8.741942,24329939989,143090304,6547,16
A1,4096,2,3.641640,8.998151,48793263189,283963207,7578,96
A1,4096,4,3.457383,9.477705,95473420086,526405590,9900,90
A1,4096,8,2.334435,14.036810,139569468254,737453021,21171,404
A1,16384,1,7.562831,17.331115,24015267201,224568817,6055,26
A1,16384,2,7.290157,17.979336,46850464681,411488100,15531,69
A1,16384,4,5.714884,22.935199,75905887486,663350646,42580,171
A1,16384,8,4.049747,32.365612,135747038645,1173606249,93064,516
A1,65536,1,24.683154,21.240802,23957001222,511400337,13404,76
A1,65536,2,23.371526,22.432767,44930054814,955823034,11967,70
A1,65536,4,19.276332,27.198649,76368539974,1554967920,21787,86
A1,65536,8,16.154771,32.454227,134423028524,2845867127,46040,253
A2,1024,1,5.053669,1.621000,24224260670,136036463,4751,14
A2,1024,2,4.651849,1.761020,44993453054,249136894,3388,44
A2,1024,4,3.865997,2.118988,77271359447,418249976,8776,116
A2,1024,8,3.647873,2.245692,136910667173,701492742,78746,408
A2,4096,1,11.239933,2.915320,24151783958,184748306,1956,22
A2,4096,2,9.677922,3.385851,44124908616,339560585,5353,48
A2,4096,4,8.600654,3.809943,75539964918,584316360,11100,85
A2,4096,8,5.486799,5.972158,128873062257,1054838042,106316,221
A2,16384,1,38.737563,3.383591,23781723827,702175603,8234,30
A2,16384,2,35.183268,3.725410,43902500225,1278505613,8088,80
A2,16384,4,28.729002,4.562358,73962976272,2012412754,14439,92
A2,16384,8,24.645704,5.318249,130252427652,3597607737,764668,1674
A2,65536,1,82.359073,6.365880,23966912654,1232874698,4625,22
A2,65536,2,74.190916,7.066741,44334107806,2077273060,15820,75
A2,65536,4,60.213093,8.707209,74708748286,3387189605,28453,179
A2,65536,8,49.393928,10.614422,130538193114,6090317208,2520849,3922
A3,1024,1,3.328083,2.461477,24024035563,131925688,8210,85
A3,1024,2,2.885124,2.839393,44057901662,256866654,39965,230
A3,1024,4,2.449172,3.344804,74968731759,411337724,53415,477
A3,1024,8,1.739205,4.710199,133752541390,719704360,147335,4321
A3,4096,1,8.353762,3.922544,24088300044,190710723,2476,53
A3,4096,2,7.646930,4.285119,44164421961,356319588,3467,117
A3,4096,4,6.393183,5.125460,75483646679,602395615,7166,166
A3,4096,8,5.256072,6.234314,134376124316,932720042,120453,607
A3,16384,1,27.292126,4.802557,24323357899,599527934,5427,43
A3,16384,2,25.140473,5.213585,45275373152,1109899007,5587,134
A3,16384,4,20.733090,6.321875,77224511985,1826112322,10808,86
A3,16384,8,17.943326,7.304777,135930055621,3256368607,67251,547
A3,65536,1,60.141648,8.717568,23930500637,959535661,5572,46
A3,65536,2,55.080877,9.518531,45024829885,1774858641,12613,91
A3,65536,4,46.034261,11.389109,76537571571,2911453937,32452,279
A3,65536,8,29.876765,17.548415,133864228753,5026062699,360997,4297
